# p/mbar t_1/s t_2/s t_3/s 
2.000000000000000096e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000192e-04 6.999999999999999556e-01 5.799999999999999600e-01 4.400000000000000022e-01
5.999999999999999474e-04 1.300000000000000044e+00 1.100000000000000089e+00 1.100000000000000089e+00
8.000000000000000383e-04 1.860000000000000098e+00 1.750000000000000000e+00 1.610000000000000098e+00
1.000000000000000021e-03 2.750000000000000000e+00 2.729999999999999982e+00 2.700000000000000178e+00
2.000000000000000042e-03 4.889999999999999680e+00 4.769999999999999574e+00 5.080000000000000071e+00
3.000000000000000062e-03 7.290000000000000036e+00 7.250000000000000000e+00 7.070000000000000284e+00
4.000000000000000083e-03 9.439999999999999503e+00 9.320000000000000284e+00 9.289999999999999147e+00
5.000000000000000104e-03 1.147000000000000064e+01 1.132000000000000028e+01 1.116999999999999993e+01
6.000000000000000125e-03 1.333999999999999986e+01 1.317999999999999972e+01 1.299000000000000021e+01
7.000000000000000146e-03 1.507000000000000028e+01 1.496000000000000085e+01 1.484999999999999964e+01
8.000000000000000167e-03 1.657000000000000028e+01 1.675000000000000000e+01 1.655999999999999872e+01
8.999999999999999320e-03 1.808999999999999986e+01 1.812999999999999901e+01 1.810000000000000142e+01
