# ('pmbar', 't_1s', 't_2s', 't_3s')
2.000000000000000096e-04 1.729999999999999982e+00 2.339999999999999858e+00 1.979999999999999982e+00
2.999999999999999737e-04 3.250000000000000000e+00 3.370000000000000107e+00 3.419999999999999929e+00
4.000000000000000192e-04 4.679999999999999716e+00 5.000000000000000000e+00 4.679999999999999716e+00
5.000000000000000104e-04 6.110000000000000320e+00 6.440000000000000391e+00 6.269999999999999574e+00
5.999999999999999474e-04 7.540000000000000036e+00 7.830000000000000071e+00 7.750000000000000000e+00
6.999999999999999929e-04 8.830000000000000071e+00 9.230000000000000426e+00 9.019999999999999574e+00
8.000000000000000383e-04 1.033000000000000007e+01 1.068999999999999950e+01 1.044999999999999929e+01
8.999999999999999754e-04 1.169999999999999929e+01 1.198000000000000043e+01 1.186999999999999922e+01
1.000000000000000021e-03 1.357000000000000028e+01 1.456000000000000050e+01 1.353999999999999915e+01
2.000000000000000042e-03 2.576999999999999957e+01 2.619000000000000128e+01 2.662999999999999901e+01
