# U/V I/nA 
1.000000000000000021e-03 1.400000000000000133e-01
1.010000000000000064e-01 1.199999999999999956e-01
2.000000000000000111e-01 1.000000000000000056e-01
2.999999999999999889e-01 8.000000000000000167e-02
4.010000000000000231e-01 8.000000000000000167e-02
5.000000000000000000e-01 5.999999999999999778e-02
6.019999999999999796e-01 4.000000000000000083e-02
7.009999999999999565e-01 2.999999999999999889e-02
8.020000000000000462e-01 2.000000000000000042e-02
9.000000000000000222e-01 1.000000000000000021e-02
1.000999999999999890e+00 1.000000000000000021e-02
1.100999999999999979e+00 0.000000000000000000e+00
