# U/V I/nA 
2.000000000000000042e-02 1.000000000000000000e+00
1.000000000000000056e-01 9.000000000000000222e-01
2.000000000000000111e-01 9.000000000000000222e-01
4.000000000000000222e-01 5.999999999999999778e-01
5.999999999999999778e-01 5.000000000000000000e-01
8.000000000000000444e-01 2.999999999999999889e-01
1.000000000000000000e+00 2.000000000000000111e-01
1.199999999999999956e+00 1.000000000000000056e-01
1.399999999999999911e+00 4.000000000000000083e-02
1.600000000000000089e+00 1.000000000000000021e-02
1.800000000000000044e+00 0.000000000000000000e+00
