# g[cm] b[cm] 
2.000000000000000000e+01 4.729999999999999716e+01
2.100000000000000000e+01 4.129999999999999716e+01
2.200000000000000000e+01 3.679999999999999716e+01
2.300000000000000000e+01 3.450000000000000000e+01
2.400000000000000000e+01 3.139999999999999858e+01
2.500000000000000000e+01 3.229999999999999716e+01
3.000000000000000000e+01 2.550000000000000000e+01
3.500000000000000000e+01 2.230000000000000071e+01
